journal_name,jcr_quartile,impact_factor
Journal of the American Chemical Society,Q1,16.6
Angewandte Chemie International Edition,Q1,17.6
Accounts of Chemical Research,Q1,18.0
Science,Q1,47.3
Chemical Society Reviews,Q1,48.3
Nature Chemistry,Q1,24.5
Nature Communications,Q1,18.1
ACS Catalysis,Q1,13.6
Chemical Reviews,Q1,64.2
Organic Letters,Q1,4.7
Nature,Q1,56.1
Journal of Molecular Structure,Q2,4.9
Nature Catalysis,Q1,48.3
Advanced Materials,Q1,29.1
Chemical Science,Q1,8.1
European Journal of Medicinal Chemistry,Q1,6.7
Organic Chemistry Frontiers,Q1,4.5
Molecules,Q2,5.1
Nature Synthesis,,22.6
Scientific Reports,Q1,4.9
Chem,Q1,19.1
Coordination Chemistry Reviews,Q1,25.6
RSC Advances,Q2,6.1
Science China Chemistry,Q1,9.8
Heliyon,,
International Journal of Molecular Sciences,Q1,5.6
The Journal of Organic Chemistry,Q1,3.3
ACS Omega,Q2,5.2
Advanced Functional Materials,Q1,19.9
Chemical Communications,Q2,4.3
Chinese Chemical Letters,Q1,9.5
European Journal of Organic Chemistry,Q2,2.8
Green Chemistry,Q1,10.6
Nature Reviews Chemistry,Q1,50.3
Antioxidants,Q1,8.2
Chemical Engineering Journal,Q1,12.5
ChemistrySelect,Q3,2.3
JACS Au,,8.5
Journal of the Iranian Chemical Society,Q3,2.4
Progress in Polymer Science,Q1,32.8
Results in Chemistry,,5.8
Science Advances,Q1,13.9
ACS Nano,Q1,17.3
Advanced Science,Q1,14.1
Applied Catalysis B: Environmental,,
Chemistry - A European Journal,Q2,3.6
Institutional Repositories DataBase (IRDB),,
International Journal of Biological Macromolecules,Q1,8.7
Journal of Colloid and Interface Science,Q1,9.6
Journal of Medicinal Chemistry,Q1,7.3
Medicinal Chemistry Research,Q2,3.5
Natural Product Reports,Q1,12.5
Nutrients,Q1,5.8
Pharmaceuticals,Q1,5.7
"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)",,
Processes,Q3,3.4
Russian Journal of General Chemistry,Q4,1.0
Advanced Energy Materials,Q1,25.5
Advanced Healthcare Materials,Q1,11.0
Arabian Journal of Chemistry,Q2,5.3
Bioconjugate Chemistry,Q1,4.5
Bioorganic Chemistry,Q1,5.1
British Journal of Pharmacology,Q1,7.5
Chemical Papers,Q3,2.7
ChemistryOpen,Q2,3.0
Food Chemistry,Q1,10.4
Foods,Q1,6.0
Frontiers in Nutrition,Q1,5.5
Frontiers in Pharmacology,Q1,5.4
Journal of Molecular Liquids,,
Journal of Water Process Engineering,Q1,6.6
Nano Letters,Q1,9.1
Nano-Structures & Nano-Objects,,
Organic & Biomolecular Chemistry,Q2,2.8
RSC Medicinal Chemistry,Q2,4.6
ACS Applied Materials & Interfaces,Q1,7.8
ACS Macro Letters,Q2,4.9
