id,display_name,description,field,domain,works_count,cited_by_count
subfields/2202,Aerospace Engineering,branch of engineering,Engineering,Physical Sciences,27327230,17526129
subfields/3312,Sociology and Political Science,academic disciplines concerned with society and the relationships between individuals in society,Social Sciences,Social Sciences,15359602,66517437
subfields/3106,Nuclear and High Energy Physics,physics of elementary particles at high energies,Physics and Astronomy,Physical Sciences,12370259,22962386
subfields/1312,Molecular Biology,branch of biology that deals with the molecular basis of biological activity,"Biochemistry, Genetics and Molecular Biology",Life Sciences,10942349,186848650
subfields/2002,Economics and Econometrics,"social science that studies the production, distribution, and consumption of goods and services","Economics, Econometrics and Finance",Social Sciences,10938641,36781281
subfields/2208,Electrical and Electronic Engineering,"electrical engineering discipline which utilizes nonlinear and active electrical components to design electronic circuits, devices, and their systems",Engineering,Physical Sciences,10773492,80096263
subfields/1110,Plant Science,science of plant life,Agricultural and Biological Sciences,Life Sciences,10728761,57797555
subfields/3320,Political Science and International Relations,academic discipline,Social Sciences,Social Sciences,10192651,27447437
subfields/1702,Artificial Intelligence,field of computer science and engineering practices for intelligence demonstrated by machines and intelligent agents,Computer Science,Physical Sciences,9645593,53162829
subfields/3304,Education,transmission of knowledge and skills,Social Sciences,Social Sciences,9584637,30925471
subfields/2746,Surgery,medical specialty,Medicine,Health Sciences,5996973,57649601
subfields/2505,Materials Chemistry,"study of the synthesis, structure, and properties of solid phase materials",Materials Science,Physical Sciences,5555083,73589091
subfields/1202,History,past events and their tracks or records,Arts and Humanities,Social Sciences,5161698,5958622
subfields/3103,Astronomy and Astrophysics,scientific study of celestial objects and phenomena,Physics and Astronomy,Physical Sciences,4733095,33713536
subfields/1208,Literature and Literary Theory,"polysemous term referring to a written art form, and the set of all literary works",Arts and Humanities,Social Sciences,4653328,7450592
subfields/1710,Information Systems,"academic study of systems with a specific reference to information and the complementary networks of hardware and software that people and organizations use to collect, filter, process, create and also distribute data",Computer Science,Physical Sciences,4523145,17220580
subfields/2204,Biomedical Engineering,application of engineering principles and design concepts to medicine and biology,Engineering,Physical Sciences,4482158,56053064
subfields/3600,General Health Professions,type of profession,Health Professions,Health Sciences,4470155,22771045
subfields/3107,"Atomic and Molecular Physics, and Optics",branch of physics,Physics and Astronomy,Physical Sciences,4381640,44119092
subfields/2210,Mechanical Engineering,engineering discipline,Engineering,Physical Sciences,4377082,34661407
